feature_id	simulated_effect	nominal_log2_fold_change
ENSG90000000001	treatment_up	1.5
ENSG90000000002	treatment_up	1.5
ENSG90000000003	treatment_up	1.5
ENSG90000000004	treatment_up	1.5
ENSG90000000005	treatment_up	1.5
ENSG90000000006	treatment_up	1.5
ENSG90000000007	treatment_up	1.5
ENSG90000000008	treatment_up	1.5
ENSG90000000009	treatment_up	1.5
ENSG90000000010	treatment_up	1.5
ENSG90000000011	treatment_up	1.5
ENSG90000000012	treatment_up	1.5
ENSG90000000013	treatment_up	1.5
ENSG90000000014	treatment_up	1.5
ENSG90000000015	treatment_up	1.5
ENSG90000000016	treatment_up	1.5
ENSG90000000017	treatment_up	1.5
ENSG90000000018	treatment_up	1.5
ENSG90000000019	treatment_up	1.5
ENSG90000000020	treatment_up	1.5
ENSG90000000021	treatment_up	1.5
ENSG90000000022	treatment_up	1.5
ENSG90000000023	treatment_up	1.5
ENSG90000000024	treatment_up	1.5
ENSG90000000025	treatment_up	1.5
ENSG90000000026	treatment_up	1.5
ENSG90000000027	treatment_up	1.5
ENSG90000000028	treatment_up	1.5
ENSG90000000029	treatment_up	1.5
ENSG90000000030	treatment_up	1.5
ENSG90000000031	treatment_up	1.5
ENSG90000000032	treatment_up	1.5
ENSG90000000033	treatment_up	1.5
ENSG90000000034	treatment_up	1.5
ENSG90000000035	treatment_up	1.5
ENSG90000000036	treatment_up	1.5
ENSG90000000037	treatment_up	1.5
ENSG90000000038	treatment_up	1.5
ENSG90000000039	treatment_up	1.5
ENSG90000000040	treatment_up	1.5
ENSG90000000041	treatment_up	1.5
ENSG90000000042	treatment_up	1.5
ENSG90000000043	treatment_up	1.5
ENSG90000000044	treatment_up	1.5
ENSG90000000045	treatment_up	1.5
ENSG90000000046	treatment_up	1.5
ENSG90000000047	treatment_up	1.5
ENSG90000000048	treatment_up	1.5
ENSG90000000049	treatment_up	1.5
ENSG90000000050	treatment_up	1.5
ENSG90000000051	treatment_up	1.5
ENSG90000000052	treatment_up	1.5
ENSG90000000053	treatment_up	1.5
ENSG90000000054	treatment_up	1.5
ENSG90000000055	treatment_up	1.5
ENSG90000000056	treatment_up	1.5
ENSG90000000057	treatment_up	1.5
ENSG90000000058	treatment_up	1.5
ENSG90000000059	treatment_up	1.5
ENSG90000000060	treatment_up	1.5
ENSG90000000061	treatment_up	1.5
ENSG90000000062	treatment_up	1.5
ENSG90000000063	treatment_up	1.5
ENSG90000000064	treatment_up	1.5
ENSG90000000065	treatment_up	1.5
ENSG90000000066	treatment_up	1.5
ENSG90000000067	treatment_up	1.5
ENSG90000000068	treatment_up	1.5
ENSG90000000069	treatment_up	1.5
ENSG90000000070	treatment_up	1.5
ENSG90000000071	treatment_up	1.5
ENSG90000000072	treatment_up	1.5
ENSG90000000073	treatment_up	1.5
ENSG90000000074	treatment_up	1.5
ENSG90000000075	treatment_up	1.5
ENSG90000000076	treatment_up	1.5
ENSG90000000077	treatment_up	1.5
ENSG90000000078	treatment_up	1.5
ENSG90000000079	treatment_up	1.5
ENSG90000000080	treatment_up	1.5
ENSG90000000081	treatment_up	1.5
ENSG90000000082	treatment_up	1.5
ENSG90000000083	treatment_up	1.5
ENSG90000000084	treatment_up	1.5
ENSG90000000085	treatment_up	1.5
ENSG90000000086	treatment_up	1.5
ENSG90000000087	treatment_up	1.5
ENSG90000000088	treatment_up	1.5
ENSG90000000089	treatment_up	1.5
ENSG90000000090	treatment_up	1.5
ENSG90000000091	treatment_up	1.5
ENSG90000000092	treatment_up	1.5
ENSG90000000093	treatment_up	1.5
ENSG90000000094	treatment_up	1.5
ENSG90000000095	treatment_up	1.5
ENSG90000000096	treatment_up	1.5
ENSG90000000097	treatment_up	1.5
ENSG90000000098	treatment_up	1.5
ENSG90000000099	treatment_up	1.5
ENSG90000000100	treatment_up	1.5
ENSG90000000101	treatment_up	1.5
ENSG90000000102	treatment_up	1.5
ENSG90000000103	treatment_up	1.5
ENSG90000000104	treatment_up	1.5
ENSG90000000105	treatment_up	1.5
ENSG90000000106	treatment_up	1.5
ENSG90000000107	treatment_up	1.5
ENSG90000000108	treatment_up	1.5
ENSG90000000109	treatment_up	1.5
ENSG90000000110	treatment_up	1.5
ENSG90000000111	treatment_up	1.5
ENSG90000000112	treatment_up	1.5
ENSG90000000113	treatment_up	1.5
ENSG90000000114	treatment_up	1.5
ENSG90000000115	treatment_up	1.5
ENSG90000000116	treatment_up	1.5
ENSG90000000117	treatment_up	1.5
ENSG90000000118	treatment_up	1.5
ENSG90000000119	treatment_up	1.5
ENSG90000000120	treatment_up	1.5
ENSG90000000121	treatment_up	1.5
ENSG90000000122	treatment_up	1.5
ENSG90000000123	treatment_up	1.5
ENSG90000000124	treatment_up	1.5
ENSG90000000125	treatment_up	1.5
ENSG90000000126	treatment_up	1.5
ENSG90000000127	treatment_up	1.5
ENSG90000000128	treatment_up	1.5
ENSG90000000129	treatment_up	1.5
ENSG90000000130	treatment_up	1.5
ENSG90000000131	treatment_up	1.5
ENSG90000000132	treatment_up	1.5
ENSG90000000133	treatment_up	1.5
ENSG90000000134	treatment_up	1.5
ENSG90000000135	treatment_up	1.5
ENSG90000000136	treatment_up	1.5
ENSG90000000137	treatment_up	1.5
ENSG90000000138	treatment_up	1.5
ENSG90000000139	treatment_up	1.5
ENSG90000000140	treatment_up	1.5
ENSG90000000141	treatment_up	1.5
ENSG90000000142	treatment_up	1.5
ENSG90000000143	treatment_up	1.5
ENSG90000000144	treatment_up	1.5
ENSG90000000145	treatment_up	1.5
ENSG90000000146	treatment_up	1.5
ENSG90000000147	treatment_up	1.5
ENSG90000000148	treatment_up	1.5
ENSG90000000149	treatment_up	1.5
ENSG90000000150	treatment_up	1.5
ENSG90000000151	genotype_up	1.2
ENSG90000000152	genotype_up	1.2
ENSG90000000153	genotype_up	1.2
ENSG90000000154	genotype_up	1.2
ENSG90000000155	genotype_up	1.2
ENSG90000000156	genotype_up	1.2
ENSG90000000157	genotype_up	1.2
ENSG90000000158	genotype_up	1.2
ENSG90000000159	genotype_up	1.2
ENSG90000000160	genotype_up	1.2
ENSG90000000161	genotype_up	1.2
ENSG90000000162	genotype_up	1.2
ENSG90000000163	genotype_up	1.2
ENSG90000000164	genotype_up	1.2
ENSG90000000165	genotype_up	1.2
ENSG90000000166	genotype_up	1.2
ENSG90000000167	genotype_up	1.2
ENSG90000000168	genotype_up	1.2
ENSG90000000169	genotype_up	1.2
ENSG90000000170	genotype_up	1.2
ENSG90000000171	genotype_up	1.2
ENSG90000000172	genotype_up	1.2
ENSG90000000173	genotype_up	1.2
ENSG90000000174	genotype_up	1.2
ENSG90000000175	genotype_up	1.2
ENSG90000000176	genotype_up	1.2
ENSG90000000177	genotype_up	1.2
ENSG90000000178	genotype_up	1.2
ENSG90000000179	genotype_up	1.2
ENSG90000000180	genotype_up	1.2
ENSG90000000181	genotype_up	1.2
ENSG90000000182	genotype_up	1.2
ENSG90000000183	genotype_up	1.2
ENSG90000000184	genotype_up	1.2
ENSG90000000185	genotype_up	1.2
ENSG90000000186	genotype_up	1.2
ENSG90000000187	genotype_up	1.2
ENSG90000000188	genotype_up	1.2
ENSG90000000189	genotype_up	1.2
ENSG90000000190	genotype_up	1.2
ENSG90000000191	genotype_up	1.2
ENSG90000000192	genotype_up	1.2
ENSG90000000193	genotype_up	1.2
ENSG90000000194	genotype_up	1.2
ENSG90000000195	genotype_up	1.2
ENSG90000000196	genotype_up	1.2
ENSG90000000197	genotype_up	1.2
ENSG90000000198	genotype_up	1.2
ENSG90000000199	genotype_up	1.2
ENSG90000000200	genotype_up	1.2
ENSG90000000201	genotype_up	1.2
ENSG90000000202	genotype_up	1.2
ENSG90000000203	genotype_up	1.2
ENSG90000000204	genotype_up	1.2
ENSG90000000205	genotype_up	1.2
ENSG90000000206	genotype_up	1.2
ENSG90000000207	genotype_up	1.2
ENSG90000000208	genotype_up	1.2
ENSG90000000209	genotype_up	1.2
ENSG90000000210	genotype_up	1.2
ENSG90000000211	genotype_up	1.2
ENSG90000000212	genotype_up	1.2
ENSG90000000213	genotype_up	1.2
ENSG90000000214	genotype_up	1.2
ENSG90000000215	genotype_up	1.2
ENSG90000000216	genotype_up	1.2
ENSG90000000217	genotype_up	1.2
ENSG90000000218	genotype_up	1.2
ENSG90000000219	genotype_up	1.2
ENSG90000000220	genotype_up	1.2
ENSG90000000221	genotype_up	1.2
ENSG90000000222	genotype_up	1.2
ENSG90000000223	genotype_up	1.2
ENSG90000000224	genotype_up	1.2
ENSG90000000225	genotype_up	1.2
ENSG90000000226	genotype_up	1.2
ENSG90000000227	genotype_up	1.2
ENSG90000000228	genotype_up	1.2
ENSG90000000229	genotype_up	1.2
ENSG90000000230	genotype_up	1.2
ENSG90000000231	genotype_up	1.2
ENSG90000000232	genotype_up	1.2
ENSG90000000233	genotype_up	1.2
ENSG90000000234	genotype_up	1.2
ENSG90000000235	genotype_up	1.2
ENSG90000000236	genotype_up	1.2
ENSG90000000237	genotype_up	1.2
ENSG90000000238	genotype_up	1.2
ENSG90000000239	genotype_up	1.2
ENSG90000000240	genotype_up	1.2
ENSG90000000241	genotype_up	1.2
ENSG90000000242	genotype_up	1.2
ENSG90000000243	genotype_up	1.2
ENSG90000000244	genotype_up	1.2
ENSG90000000245	genotype_up	1.2
ENSG90000000246	genotype_up	1.2
ENSG90000000247	genotype_up	1.2
ENSG90000000248	genotype_up	1.2
ENSG90000000249	genotype_up	1.2
ENSG90000000250	genotype_up	1.2
ENSG90000000251	genotype_up	1.2
ENSG90000000252	genotype_up	1.2
ENSG90000000253	genotype_up	1.2
ENSG90000000254	genotype_up	1.2
ENSG90000000255	genotype_up	1.2
ENSG90000000256	genotype_up	1.2
ENSG90000000257	genotype_up	1.2
ENSG90000000258	genotype_up	1.2
ENSG90000000259	genotype_up	1.2
ENSG90000000260	genotype_up	1.2
ENSG90000000261	genotype_up	1.2
ENSG90000000262	genotype_up	1.2
ENSG90000000263	genotype_up	1.2
ENSG90000000264	genotype_up	1.2
ENSG90000000265	genotype_up	1.2
ENSG90000000266	genotype_up	1.2
ENSG90000000267	genotype_up	1.2
ENSG90000000268	genotype_up	1.2
ENSG90000000269	genotype_up	1.2
ENSG90000000270	genotype_up	1.2
ENSG90000000271	genotype_treatment_interaction	1.8
ENSG90000000272	genotype_treatment_interaction	1.8
ENSG90000000273	genotype_treatment_interaction	1.8
ENSG90000000274	genotype_treatment_interaction	1.8
ENSG90000000275	genotype_treatment_interaction	1.8
ENSG90000000276	genotype_treatment_interaction	1.8
ENSG90000000277	genotype_treatment_interaction	1.8
ENSG90000000278	genotype_treatment_interaction	1.8
ENSG90000000279	genotype_treatment_interaction	1.8
ENSG90000000280	genotype_treatment_interaction	1.8
ENSG90000000281	genotype_treatment_interaction	1.8
ENSG90000000282	genotype_treatment_interaction	1.8
ENSG90000000283	genotype_treatment_interaction	1.8
ENSG90000000284	genotype_treatment_interaction	1.8
ENSG90000000285	genotype_treatment_interaction	1.8
ENSG90000000286	genotype_treatment_interaction	1.8
ENSG90000000287	genotype_treatment_interaction	1.8
ENSG90000000288	genotype_treatment_interaction	1.8
ENSG90000000289	genotype_treatment_interaction	1.8
ENSG90000000290	genotype_treatment_interaction	1.8
ENSG90000000291	genotype_treatment_interaction	1.8
ENSG90000000292	genotype_treatment_interaction	1.8
ENSG90000000293	genotype_treatment_interaction	1.8
ENSG90000000294	genotype_treatment_interaction	1.8
ENSG90000000295	genotype_treatment_interaction	1.8
ENSG90000000296	genotype_treatment_interaction	1.8
ENSG90000000297	genotype_treatment_interaction	1.8
ENSG90000000298	genotype_treatment_interaction	1.8
ENSG90000000299	genotype_treatment_interaction	1.8
ENSG90000000300	genotype_treatment_interaction	1.8
ENSG90000000301	genotype_treatment_interaction	1.8
ENSG90000000302	genotype_treatment_interaction	1.8
ENSG90000000303	genotype_treatment_interaction	1.8
ENSG90000000304	genotype_treatment_interaction	1.8
ENSG90000000305	genotype_treatment_interaction	1.8
ENSG90000000306	genotype_treatment_interaction	1.8
ENSG90000000307	genotype_treatment_interaction	1.8
ENSG90000000308	genotype_treatment_interaction	1.8
ENSG90000000309	genotype_treatment_interaction	1.8
ENSG90000000310	genotype_treatment_interaction	1.8
ENSG90000000311	genotype_treatment_interaction	1.8
ENSG90000000312	genotype_treatment_interaction	1.8
ENSG90000000313	genotype_treatment_interaction	1.8
ENSG90000000314	genotype_treatment_interaction	1.8
ENSG90000000315	genotype_treatment_interaction	1.8
ENSG90000000316	genotype_treatment_interaction	1.8
ENSG90000000317	genotype_treatment_interaction	1.8
ENSG90000000318	genotype_treatment_interaction	1.8
ENSG90000000319	genotype_treatment_interaction	1.8
ENSG90000000320	genotype_treatment_interaction	1.8
ENSG90000000321	genotype_treatment_interaction	1.8
ENSG90000000322	genotype_treatment_interaction	1.8
ENSG90000000323	genotype_treatment_interaction	1.8
ENSG90000000324	genotype_treatment_interaction	1.8
ENSG90000000325	genotype_treatment_interaction	1.8
ENSG90000000326	genotype_treatment_interaction	1.8
ENSG90000000327	genotype_treatment_interaction	1.8
ENSG90000000328	genotype_treatment_interaction	1.8
ENSG90000000329	genotype_treatment_interaction	1.8
ENSG90000000330	genotype_treatment_interaction	1.8
ENSG90000000331	genotype_treatment_interaction	1.8
ENSG90000000332	genotype_treatment_interaction	1.8
ENSG90000000333	genotype_treatment_interaction	1.8
ENSG90000000334	genotype_treatment_interaction	1.8
ENSG90000000335	genotype_treatment_interaction	1.8
ENSG90000000336	genotype_treatment_interaction	1.8
ENSG90000000337	genotype_treatment_interaction	1.8
ENSG90000000338	genotype_treatment_interaction	1.8
ENSG90000000339	genotype_treatment_interaction	1.8
ENSG90000000340	genotype_treatment_interaction	1.8
ENSG90000000341	genotype_treatment_interaction	1.8
ENSG90000000342	genotype_treatment_interaction	1.8
ENSG90000000343	genotype_treatment_interaction	1.8
ENSG90000000344	genotype_treatment_interaction	1.8
ENSG90000000345	genotype_treatment_interaction	1.8
ENSG90000000346	genotype_treatment_interaction	1.8
ENSG90000000347	genotype_treatment_interaction	1.8
ENSG90000000348	genotype_treatment_interaction	1.8
ENSG90000000349	genotype_treatment_interaction	1.8
ENSG90000000350	genotype_treatment_interaction	1.8
ENSG90000000351	batch	0.65
ENSG90000000352	batch	0.65
ENSG90000000353	batch	0.65
ENSG90000000354	batch	0.65
ENSG90000000355	batch	0.65
ENSG90000000356	batch	0.65
ENSG90000000357	batch	0.65
ENSG90000000358	batch	0.65
ENSG90000000359	batch	0.65
ENSG90000000360	batch	0.65
ENSG90000000361	batch	0.65
ENSG90000000362	batch	0.65
ENSG90000000363	batch	0.65
ENSG90000000364	batch	0.65
ENSG90000000365	batch	0.65
ENSG90000000366	batch	0.65
ENSG90000000367	batch	0.65
ENSG90000000368	batch	0.65
ENSG90000000369	batch	0.65
ENSG90000000370	batch	0.65
ENSG90000000371	batch	0.65
ENSG90000000372	batch	0.65
ENSG90000000373	batch	0.65
ENSG90000000374	batch	0.65
ENSG90000000375	batch	0.65
ENSG90000000376	batch	0.65
ENSG90000000377	batch	0.65
