sample_id	subject_id	genotype	treatment	batch	sex	timepoint	replicate
sample_001	donor_01	wild_type	vehicle	batch_1	female	24h	1
sample_002	donor_01	wild_type	stimulated	batch_1	female	24h	1
sample_003	donor_02	wild_type	vehicle	batch_1	male	24h	2
sample_004	donor_02	wild_type	stimulated	batch_1	male	24h	2
sample_005	donor_03	wild_type	vehicle	batch_1	female	24h	3
sample_006	donor_03	wild_type	stimulated	batch_1	female	24h	3
sample_007	donor_04	wild_type	vehicle	batch_1	male	24h	4
sample_008	donor_04	wild_type	stimulated	batch_1	male	24h	4
sample_009	donor_05	wild_type	vehicle	batch_1	female	24h	5
sample_010	donor_05	wild_type	stimulated	batch_1	female	24h	5
sample_011	donor_06	wild_type	vehicle	batch_1	male	24h	6
sample_012	donor_06	wild_type	stimulated	batch_1	male	24h	6
sample_013	donor_07	variant	vehicle	batch_1	female	24h	1
sample_014	donor_07	variant	stimulated	batch_1	female	24h	1
sample_015	donor_08	variant	vehicle	batch_1	male	24h	2
sample_016	donor_08	variant	stimulated	batch_1	male	24h	2
sample_017	donor_09	variant	vehicle	batch_1	female	24h	3
sample_018	donor_09	variant	stimulated	batch_1	female	24h	3
sample_019	donor_10	variant	vehicle	batch_1	male	24h	4
sample_020	donor_10	variant	stimulated	batch_1	male	24h	4
sample_021	donor_11	variant	vehicle	batch_1	female	24h	5
sample_022	donor_11	variant	stimulated	batch_1	female	24h	5
sample_023	donor_12	variant	vehicle	batch_1	male	24h	6
sample_024	donor_12	variant	stimulated	batch_1	male	24h	6
sample_025	donor_13	wild_type	vehicle	batch_2	female	24h	1
sample_026	donor_13	wild_type	stimulated	batch_2	female	24h	1
sample_027	donor_14	wild_type	vehicle	batch_2	male	24h	2
sample_028	donor_14	wild_type	stimulated	batch_2	male	24h	2
sample_029	donor_15	wild_type	vehicle	batch_2	female	24h	3
sample_030	donor_15	wild_type	stimulated	batch_2	female	24h	3
sample_031	donor_16	wild_type	vehicle	batch_2	male	24h	4
sample_032	donor_16	wild_type	stimulated	batch_2	male	24h	4
sample_033	donor_17	wild_type	vehicle	batch_2	female	24h	5
sample_034	donor_17	wild_type	stimulated	batch_2	female	24h	5
sample_035	donor_18	wild_type	vehicle	batch_2	male	24h	6
sample_036	donor_18	wild_type	stimulated	batch_2	male	24h	6
sample_037	donor_19	variant	vehicle	batch_2	female	24h	1
sample_038	donor_19	variant	stimulated	batch_2	female	24h	1
sample_039	donor_20	variant	vehicle	batch_2	male	24h	2
sample_040	donor_20	variant	stimulated	batch_2	male	24h	2
sample_041	donor_21	variant	vehicle	batch_2	female	24h	3
sample_042	donor_21	variant	stimulated	batch_2	female	24h	3
sample_043	donor_22	variant	vehicle	batch_2	male	24h	4
sample_044	donor_22	variant	stimulated	batch_2	male	24h	4
sample_045	donor_23	variant	vehicle	batch_2	female	24h	5
sample_046	donor_23	variant	stimulated	batch_2	female	24h	5
sample_047	donor_24	variant	vehicle	batch_2	male	24h	6
sample_048	donor_24	variant	stimulated	batch_2	male	24h	6
sample_049	donor_25	wild_type	vehicle	batch_3	female	24h	1
sample_050	donor_25	wild_type	stimulated	batch_3	female	24h	1
sample_051	donor_26	wild_type	vehicle	batch_3	male	24h	2
sample_052	donor_26	wild_type	stimulated	batch_3	male	24h	2
sample_053	donor_27	wild_type	vehicle	batch_3	female	24h	3
sample_054	donor_27	wild_type	stimulated	batch_3	female	24h	3
sample_055	donor_28	wild_type	vehicle	batch_3	male	24h	4
sample_056	donor_28	wild_type	stimulated	batch_3	male	24h	4
sample_057	donor_29	wild_type	vehicle	batch_3	female	24h	5
sample_058	donor_29	wild_type	stimulated	batch_3	female	24h	5
sample_059	donor_30	wild_type	vehicle	batch_3	male	24h	6
sample_060	donor_30	wild_type	stimulated	batch_3	male	24h	6
sample_061	donor_31	variant	vehicle	batch_3	female	24h	1
sample_062	donor_31	variant	stimulated	batch_3	female	24h	1
sample_063	donor_32	variant	vehicle	batch_3	male	24h	2
sample_064	donor_32	variant	stimulated	batch_3	male	24h	2
sample_065	donor_33	variant	vehicle	batch_3	female	24h	3
sample_066	donor_33	variant	stimulated	batch_3	female	24h	3
sample_067	donor_34	variant	vehicle	batch_3	male	24h	4
sample_068	donor_34	variant	stimulated	batch_3	male	24h	4
sample_069	donor_35	variant	vehicle	batch_3	female	24h	5
sample_070	donor_35	variant	stimulated	batch_3	female	24h	5
sample_071	donor_36	variant	vehicle	batch_3	male	24h	6
sample_072	donor_36	variant	stimulated	batch_3	male	24h	6
